links,name,location,review rate,review,location review,cleanliness review,service review,value review,LANGUAGES SPOKEN,style,description,image-src,
88. Salame Camp Fanan,Salame Camp Fanan,"Big Duna, Nuweiba 44545 Egypt",null,null,null,null,null,null,null,null,null,null,
87. Noor Beach Camp,Noor Beach Camp,null,null,null,null,null,null,null,null,null,null,null,
86. Castle Beach,Castle Beach,"Raas Shatiaan, Nuweiba Egypt",null,null,null,null,null,null,Arabic,null,null,null,
85. Rayan's Beach Camp,Rayan's Beach Camp,"Newabaa Street, Nuweiba 46618 Egypt",null,null,null,null,null,null,null,null,null,null,
84. Dana Beach Camp,Dana Beach Camp,"Wadi El Mahash, Taba - Newiba Road, Nuweiba 46622 Egypt",1,Terrible,null,null,null,null,null,null,null,null,
83. Aquarium Camp,Aquarium Camp,"Taba Road Ca. 25km Von Nweiba Entfernt, Zwischen, Nuweiba 44618 Egypt",null,null,null,null,null,null,null,null,null,null,
82. Blue Bird Guest House,Blue Bird Guest House,null,1,Terrible,1,1,1,null,null,null,null,null,
81. Sinai's Best Camp & Resturant,Sinai's Best Camp & Resturant,"Nuweibaa - Taba Road, Nuweiba 46618 Egypt",null,null,null,null,null,null,null,null,null,null,
80. Gamal camp,Gamal camp,Nuweiba 46618 Egypt,2.5,Average,null,null,null,null,"English, Arabic, Hebrew",null,null,null,
79. El Badawy Camp,El Badawy Camp,"Tarabin Beach, Nuweiba 46625 Egypt",null,null,null,null,null,null,"English, Arabic",null,"Visit Paradise in the Holy Land of SinaiTranquility, gorgeous nature and simple living Life is beautiful - Especially in Nuweiba.- all just waiting for you!El Badawy Camp is all about good life, happy feelings and the perfect place for your next adventure!On our beach we have a beautiful recreational area with very cosy ambiance – lights on or off – depending if you are in the mood for star gazing or making fire at our fire place next to the Red Sea. If you would like to read a book or take a nap in our ham rock you are more than welcome.In our palm garden in the back you will find areas for dining, chatting, chilling or singing by the fire place.In the shade or under the sun we are sure you will find a place that pleases you in El Badawy Camp:)This year we introduce huts without roof – which makes it possible to go star gazing while having dinner or chilling in solitude or in private groups. We have one made especially for girls ”the girly hut” with pink couchins and decorations from the the Red Sea.So please come and join us in enjoing lifes more quiet aspects!",null,
78. Saraya Beach Resort,Saraya Beach Resort,Nuweiba Egypt,2.5,Average,4,4,4,5,Arabic,null,null,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/08/e7/02/the-beach.jpg?w=100&h=-1&s=1,
77. White Palace Hostel,White Palace Hostel,"El Shabab Street Tarabeen, Nuweiba 46618 Egypt",null,null,null,null,null,null,null,null,null,null,
76. Regina Style Nuweibaa,Regina Style Nuweibaa,"6 El Corniche Rd. Touristic Division Harbour, Nuweiba Egypt",2.5,Average,3,2.7,2.8,2.8,null,null,null,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/b8/81/22/regina-style-nuweibaa.jpg?w=100&h=-1&s=1,
75. Soft Beach Camp,Soft Beach Camp,Nuweiba Egypt,3,Average,null,null,null,null,"English, Russian, Arabic, German and 1 more",null,null,null,
74. Mousa Camp,Mousa Camp,null,3,Average,3.5,3,3.5,3,null,null,null,null,
73. David Camp,David Camp,"Tarabin Beach, Nuweiba 46625 Egypt",3,Average,null,null,null,null,"English, Russian, Arabic, Hebrew",null,null,null,
72. Africa Beach Camp,Africa Beach Camp,null,3,Average,3,3,3,null,null,null,null,null,
71. Sultana Village,Sultana Village,Nuweiba Egypt,4,Very good,5,5,5,4.7,null,null,null,null,
70. Harby's Place,Harby's Place,null,5,Excellent,5,4,5,5,null,null,"Harby's Place is a Bedouin owned and managed eco-lodge situated in the beautiful surroundings of Wadi Mahash on the shores of the Red sea, South Sinai, Egypt. Its remote location and authentic beach huts make it an unique destination for eco-tourism and peace-seeking visitors.At Harby's accommodation is a traditional Bedouin 'hoosha' - a straw beach hut / cabin,All of our beach huts are clean and comfortable, equiped with Bedouin carpets, mattresses, a small sitting area and a balcony covered with carpets to watch the sea and the sunrise. Each hut has its own hammock and we supply sheets and blankets (in winter).",null,
69. Elaria Beach Resort,Elaria Beach Resort,Nuweiba Egypt,3,Average,3.4,3,2.9,3.1,null,null,null,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/6e/a0/72/filename-x-32c138e6-jpg.jpg?w=100&h=-1&s=1,
68. Sinai Shambalah,Sinai Shambalah,null,5,Excellent,null,null,null,null,null,null,null,null,
67. Blue Beach Camp Nuweiba,Blue Beach Camp Nuweiba,"Small Dune, Nuweiba 41688 Egypt",4,Very good,4,3,4,null,null,null,null,null,
66. White Dune Nuweiba,White Dune Nuweiba,"Wasit el Muzinah, Nuweiba 46622 Egypt",5,Excellent,4,5,4,null,"English, Russian, Arabic, Hebrew",null,null,null,
65. Ghannah Lodge,Ghannah Lodge,"Dolphin village, Nuweiba Egypt",4,Very good,4.4,4.4,4.4,4.1,null,null,null,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/08/6d/2f/nuweiba.jpg?w=100&h=-1&s=1,
64. Mermaid Resort and Restaurant,Mermaid Resort and Restaurant,null,4,Very good,4,3,4,null,Arabic,null,null,null,
63. Banana Beach Camp,Banana Beach Camp,"Taba Road, Nuweiba Egypt",5,Excellent,4,5,4,null,null,null,null,null,
62. Petra Camp,Petra Camp,null,4,Very good,4.5,3.3,4.5,4.3,null,null,"Petra Camp welcomes you!A pleasant stay in a pleasant atmosphere with excellent service and a central location in our region that offers petra camp. We look forward to welcoming you and invite you to get an overview of our offer.Petra Camp offers a variety of bedouin lounges right on the sea which makes it the ideal place to lounge, tan or relax after snorkeling in the variety of coral reefs just meters from the shore.Feel free with the teamWe make you feel home by preparing food for you from the culture itself that you will be happy and feel comfortable.Feel that you are in EgyptWe offer you for example a nice camel ride , even sometime there is somewhere a camel race which you can enjoy.",null,
61. Eco Camp Asala Beach,Eco Camp Asala Beach,null,4.5,Excellent,4.3,4,4.3,4.5,null,null,"Our Eco-Camp lies in a quiet location by the Red Sea, about 40 km north of Nuweiba, here you can really relax.We offer accommodation for different needs and price ranges and in our fish restaurant we serve fresh fish from the sea.Enjoy the sunsets with a walk along the white sandy beach.Our coral reef is the home to schools of colorful fish and other sea creatures. Marvel at the underwater world while snorkeling.From here you can also book various trips to other attractions in South Sinai, be it a camel ride or a jeep safari into the desert or a 2-day trip to St. Catherine's Monastery and climbing Moses Mountain at sunrise.",null,
117. El Beit,El Beit,"Nuweiba-Taba Road, Nuweiba 46512 Egypt",null,null,null,null,null,null,"English, Spanish, Arabic",null,null,null,
116. Sahara Beach Camp Nuwaiba,Sahara Beach Camp Nuwaiba,"Ras Shettan N, Nuweiba 46618 Egypt",null,null,null,null,null,null,null,null,null,null,
115. Dolphin Camp,Dolphin Camp,"Al-amal Street, Nuweiba 19877 Egypt",null,null,null,null,null,null,null,null,null,null,
114. Sinai Life Beach Camp,Sinai Life Beach Camp,"12 Km Nuweiba Taba Road, Nuweiba Egypt",null,null,null,null,null,null,null,null,null,null,
113. Bamba Camp,Bamba Camp,null,null,null,null,null,null,null,null,null,null,null,
112. La Commune - South Sinai,La Commune - South Sinai,"Taba Road., Nuweiba 00202 Egypt",null,null,null,null,null,null,null,null,"La Commune brings you a new taste of simplicity and perfection where you get to sit back, relax and enjoy the unique and natural scenery of Sinai. All the while, you get to meet different, as well as like-minded individuals, with unique ideas, skills, and thoughts. The mountains of Sinai are our backyard and the Red Sea is our front porch! Join us for an unforgettable Sinai experience :)",null,
111. Mondial Camp,Mondial Camp,null,null,null,null,null,null,null,null,null,null,null,
110. Salama Lodge Camp,Salama Lodge Camp,null,null,null,null,null,null,null,null,null,null,null,
109. Shooting Star Camp,Shooting Star Camp,null,null,null,null,null,null,null,null,null,null,null,
108. Dahab Dream,Dahab Dream,"Dahab - Nuweibaa Road, Nuweiba 46617 Egypt",null,null,null,null,null,null,null,null,null,null,
107. Janub Sina' Nwibae Mantiquh Alduyunah,Janub Sina' Nwibae Mantiquh Alduyunah,null,null,null,null,null,null,null,null,null,null,null,
106. Belaa Sina Beach,Belaa Sina Beach,null,null,null,null,null,null,null,null,null,null,null,
105. Diana Beach Camp,Diana Beach Camp,null,null,null,null,null,null,null,null,null,null,null,
104. Fayrouz Beach Camp,Fayrouz Beach Camp,null,null,null,null,null,null,null,null,null,null,null,
103. Haven Beach Camp,Haven Beach Camp,"10 km from Ticket office Nuweiba-Aqaba Ferry., Nuweiba 46618 Egypt",null,null,null,null,null,null,null,null,"Haven Beach Camp is simply a beach camp where you can simply live the experiance of living in a Wooden Hut two steps from the sea, with a arabian bedouin atmosphere...",null,
102. Sababa Village,Sababa Village,null,null,null,null,null,null,null,null,null,null,null,
101. Starbucks Camp,Starbucks Camp,null,null,null,null,null,null,null,null,null,null,null,
100. Blue Wave Ras Shitan,Blue Wave Ras Shitan,Nuweiba 46617 Egypt,null,null,null,null,null,null,null,null,null,null,
99. Small Dune Camp,Small Dune Camp,"Small Dune Area, Nuweiba Egypt",null,null,null,null,null,null,null,null,null,null,
98. Sababa Camp,Sababa Camp,null,null,null,null,null,null,null,null,null,null,null,
97. Fanan Camp,Fanan Camp,"Dune Beach, Nuweiba 44545 Egypt",null,null,null,null,null,null,null,null,null,null,
96. SinaiStars Bedouin Camp,SinaiStars Bedouin Camp,"Al Mahash, Nuweiba - Egypt",null,null,null,null,null,null,null,null,"These Bedouin Camps are a little paradise for people that love nature and the authentic Sinai. Singles are welcome, as well families and groups.Al Mahash is a wonderful beach between Taba and Nuweiba, the Bedouin Camps there are existing almost 20 years. Your home will be a cosy little hut directly on the beach.Toilets and showers are a 20 metres away in a big bathroom.The restaurant provides very tasty and healthy food, always fresh cooked.You can enjoy the ocean, corals and fishes or also make a trip to the desert and biblical places.We provide taxi transfer from the airport in Sharm el Sheikh. If you come from cairo, there is a daily bus to the Sinai.If you need help with searching your flight, we can help you here as well.",null,
95. ZION Camp,ZION Camp,null,null,null,null,null,null,null,null,null,null,null,
94. Amor Beach Camp,Amor Beach Camp,"Sharie Duyunih Duyunah, Nuweiba 46618 Egypt",null,null,null,null,null,null,null,null,"Amor beach camp is the best place to experience Sinai. The place provides Free parking and free WIFI, meals, beach access, taxies and guidance to all must-see sites on Sinai. There is nothing like waking up and see the sea in front of you.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/1f/21/b7/the-view.jpg?w=100&h=-1&s=1,
93. Green Beach Camp Sinai,Green Beach Camp Sinai,"Duna Beach, Nuweiba 46618 Egypt",null,null,null,null,null,null,null,null,null,null,
92. 3elbet Alwan Camp,3elbet Alwan Camp,Nuweiba 46618 Egypt,null,null,null,null,null,null,null,null,null,null,
91. 3elbt Alwan Camp,3elbt Alwan Camp,"Al Quds Street, Nuweiba 46618 Egypt",null,null,null,null,null,null,null,null,null,null,
